@relation urlClassifyTrainData

@attribute Label {SOHOA,BATDONGSAN,DULICH,THOITRANG}
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric
@attribute 61 numeric
@attribute 62 numeric
@attribute 63 numeric
@attribute 64 numeric
@attribute 65 numeric
@attribute 66 numeric
@attribute 67 numeric
@attribute 68 numeric
@attribute 69 numeric
@attribute 70 numeric
@attribute 71 numeric
@attribute 72 numeric
@attribute 73 numeric
@attribute 74 numeric
@attribute 75 numeric
@attribute 76 numeric
@attribute 77 numeric
@attribute 78 numeric
@attribute 79 numeric
@attribute 80 numeric
@attribute 81 numeric
@attribute 82 numeric
@attribute 83 numeric
@attribute 84 numeric
@attribute 85 numeric
@attribute 86 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 90 numeric

@data
SOHOA,0.006623,0.019868,0.019868,0.019868,0.019868,0.006623,0.019868,0.006623,0.019868,0.033113,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.019868,0.006623,0.033113,0.006623,0.006623,0.006623,0.006623,0.019868,0.006623,0.006623,0.006623,0.006623,0.019868,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.152318,0.006623,0.006623,0.006623,0.006623,0.033113,0.006623,0.019868,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.033113,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.019868,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623,0.006623
BATDONGSAN,0.003663,0.032967,0.018315,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.010989,0.003663,0.003663,0.003663,0.003663,0.032967,0.003663,0.003663,0.003663,0.010989,0.018315,0.018315,0.003663,0.003663,0.003663,0.003663,0.054945,0.003663,0.003663,0.018315,0.018315,0.003663,0.274725,0.076923,0.003663,0.010989,0.010989,0.003663,0.010989,0.003663,0.010989,0.003663,0.003663,0.010989,0.003663,0.010989,0.003663,0.003663,0.003663,0.018315,0.003663,0.010989,0.003663,0.003663,0.003663,0.003663,0.010989,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.018315,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.010989,0.032967,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663,0.003663
BATDONGSAN,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.006316,0.006316,0.002105,0.002105,0.052632,0.010526,0.006316,0.002105,0.002105,0.002105,0.006316,0.002105,0.002105,0.006316,0.002105,0.002105,0.002105,0.002105,0.002105,0.254737,0.010526,0.002105,0.002105,0.006316,0.006316,0.014737,0.002105,0.006316,0.002105,0.002105,0.002105,0.002105,0.014737,0.002105,0.006316,0.006316,0.010526,0.002105,0.010526,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.006316,0.014737,0.010526,0.002105,0.145263,0.023158,0.002105,0.002105,0.002105,0.023158,0.006316,0.048421,0.031579,0.027368,0.044211,0.002105,0.002105,0.002105,0.002105,0.002105,0.002105,0.048421,0.002105
SOHOA,0.009009,0.001802,0.048649,0.001802,0.156757,0.016216,0.009009,0.030631,0.210811,0.001802,0.001802,0.005405,0.001802,0.009009,0.009009,0.001802,0.023423,0.001802,0.001802,0.023423,0.005405,0.041441,0.001802,0.005405,0.012613,0.001802,0.030631,0.01982,0.001802,0.009009,0.001802,0.005405,0.005405,0.005405,0.001802,0.001802,0.012613,0.001802,0.005405,0.030631,0.005405,0.001802,0.001802,0.005405,0.001802,0.005405,0.012613,0.001802,0.005405,0.001802,0.001802,0.012613,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.005405,0.001802,0.001802,0.001802,0.001802,0.001802,0.005405,0.005405,0.001802,0.001802,0.001802,0.001802,0.001802,0.001802,0.005405,0.001802,0.005405,0.005405,0.001802,0.001802,0.052252,0.009009,0.009009,0.001802,0.001802,0.005405,0.001802,0.001802,0.001802,0.001802,0.012613,0.005405
DULICH,0.003484,0.02439,0.010453,0.003484,0.003484,0.010453,0.003484,0.017422,0.003484,0.003484,0.003484,0.010453,0.010453,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.010453,0.003484,0.003484,0.003484,0.003484,0.003484,0.017422,0.010453,0.003484,0.003484,0.010453,0.003484,0.003484,0.003484,0.010453,0.003484,0.003484,0.003484,0.010453,0.003484,0.317073,0.003484,0.010453,0.003484,0.003484,0.003484,0.003484,0.017422,0.12892,0.003484,0.003484,0.003484,0.010453,0.003484,0.010453,0.031359,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.010453,0.010453,0.003484,0.003484,0.031359,0.003484,0.003484,0.003484,0.02439,0.010453,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484
SOHOA,0.003636,0.003636,0.003636,0.003636,0.323636,0.003636,0.018182,0.018182,0.003636,0.010909,0.003636,0.003636,0.010909,0.010909,0.010909,0.003636,0.003636,0.003636,0.003636,0.032727,0.010909,0.069091,0.003636,0.003636,0.003636,0.003636,0.010909,0.010909,0.003636,0.010909,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.010909,0.010909,0.003636,0.003636,0.010909,0.003636,0.010909,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.098182,0.003636,0.003636,0.010909,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.010909,0.003636,0.010909,0.003636,0.003636,0.003636,0.003636,0.010909,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.003636,0.018182
THOITRANG,0.001328,0.003984,0.001328,0.001328,0.001328,0.003984,0.001328,0.01992,0.003984,0.001328,0.003984,0.00664,0.001328,0.009296,0.003984,0.003984,0.011952,0.00664,0.001328,0.00664,0.009296,0.001328,0.003984,0.001328,0.001328,0.001328,0.003984,0.001328,0.001328,0.001328,0.001328,0.001328,0.001328,0.00664,0.001328,0.003984,0.001328,0.001328,0.003984,0.003984,0.001328,0.001328,0.003984,0.00664,0.00664,0.00664,0.003984,0.003984,0.001328,0.001328,0.001328,0.609562,0.001328,0.001328,0.017264,0.001328,0.001328,0.003984,0.001328,0.001328,0.001328,0.009296,0.001328,0.001328,0.003984,0.003984,0.001328,0.003984,0.001328,0.003984,0.001328,0.003984,0.001328,0.003984,0.00664,0.001328,0.003984,0.014608,0.00664,0.062417,0.001328,0.003984,0.009296,0.003984,0.001328,0.001328,0.001328,0.001328,0.003984,0.001328,0.00664
DULICH,0.010453,0.010453,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.010453,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.010453,0.003484,0.003484,0.052265,0.010453,0.003484,0.003484,0.010453,0.003484,0.017422,0.003484,0.094077,0.02439,0.003484,0.010453,0.017422,0.003484,0.003484,0.121951,0.010453,0.003484,0.003484,0.003484,0.003484,0.003484,0.045296,0.003484,0.003484,0.003484,0.003484,0.017422,0.017422,0.163763,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.010453,0.066202,0.003484,0.003484,0.010453,0.003484,0.003484,0.003484,0.010453,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.010453,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484,0.003484
DULICH,0.003344,0.003344,0.003344,0.003344,0.003344,0.010033,0.003344,0.003344,0.003344,0.003344,0.003344,0.023411,0.010033,0.003344,0.036789,0.003344,0.003344,0.016722,0.003344,0.003344,0.010033,0.010033,0.003344,0.010033,0.003344,0.003344,0.043478,0.003344,0.003344,0.003344,0.003344,0.003344,0.076923,0.016722,0.003344,0.003344,0.010033,0.023411,0.003344,0.010033,0.003344,0.003344,0.003344,0.010033,0.003344,0.003344,0.003344,0.016722,0.023411,0.003344,0.003344,0.023411,0.003344,0.003344,0.010033,0.010033,0.003344,0.003344,0.083612,0.023411,0.003344,0.003344,0.003344,0.003344,0.016722,0.003344,0.023411,0.003344,0.003344,0.016722,0.003344,0.023411,0.003344,0.003344,0.003344,0.003344,0.0301,0.003344,0.003344,0.016722,0.003344,0.003344,0.143813,0.003344,0.003344,0.003344,0.010033,0.003344,0.010033,0.003344,0.003344
THOITRANG,0.006593,0.002198,0.002198,0.002198,0.002198,0.006593,0.006593,0.006593,0.002198,0.006593,0.002198,0.002198,0.002198,0.002198,0.002198,0.002198,0.010989,0.002198,0.002198,0.006593,0.002198,0.002198,0.010989,0.002198,0.002198,0.010989,0.015385,0.002198,0.002198,0.010989,0.002198,0.002198,0.006593,0.002198,0.002198,0.006593,0.002198,0.006593,0.002198,0.002198,0.006593,0.002198,0.002198,0.006593,0.002198,0.006593,0.002198,0.002198,0.006593,0.006593,0.010989,0.516484,0.002198,0.002198,0.002198,0.015385,0.006593,0.002198,0.002198,0.01978,0.002198,0.002198,0.006593,0.002198,0.010989,0.002198,0.010989,0.002198,0.006593,0.002198,0.002198,0.006593,0.002198,0.002198,0.002198,0.002198,0.002198,0.002198,0.002198,0.006593,0.010989,0.006593,0.006593,0.063736,0.002198,0.002198,0.015385,0.002198,0.006593,0.002198,0.002198
